102TT|0|Radnor|LOCAL|Colmar-Link Belt|-75.37250|40.04388|Devon|-1|-1|2016-04-22|2016-04-22 13:21:07|2016-04-22 13:22:43|96
102TT|0|St. Davids|LOCAL|Colmar-Link Belt|-75.3867|40.04583|Devon|-1|-1|2016-04-22|2016-04-22 13:19:11|2016-04-22 13:21:01|110
102TT|0|Strafford|LOCAL|Colmar-Link Belt|-75.42277|40.04722|Devon|-1|-1|2016-04-22|2016-04-22 13:15:04|2016-04-22 13:17:01|117
102TT|0|Villanova|LOCAL|Colmar-Link Belt|-75.36040|40.04450|Devon|-1|-1|2016-04-22|2016-04-22 13:22:33|2016-04-22 13:22:33|0
102TT|0|Wayne-A|LOCAL|Colmar-Link Belt|-75.40447|40.04961|Devon|-1|-1|2016-04-22|2016-04-22 13:16:32|2016-04-22 13:19:06|154
1054|0|30th Street Station|LOCAL|Suburban Station|-74.81410|40.26120|Cynwyd|-1|S|2016-04-25|2016-04-25 06:42:27|2016-04-25 06:42:27|0
1054|0|30th Street Station|LOCAL|Suburban Station|-74.81410|40.26120|Cynwyd|-1|S|2016-04-29|2016-04-29 06:43:07|2016-04-29 06:44:00|53
1054|0|30th Street Station|LOCAL|Suburban Station|-74.81410|40.26120|Cynwyd|-1|S|2016-05-04|2016-05-04 06:43:44|2016-05-04 06:44:28|44
1054|0|30th Street Station|LOCAL|Suburban Station|-74.81410|40.26120|Cynwyd|-1|S|2016-05-09|2016-05-09 06:44:06|2016-05-09 06:45:00|54
1054|0|30th Street Station|LOCAL|Suburban Station|-74.81410|40.26120|Cynwyd|-1|S|2016-05-10|2016-05-10 06:43:44|2016-05-10 06:44:23|39
1054|0|30th Street Station|LOCAL|Suburban Station|-74.81410|40.26120|Cynwyd|-1|S|2016-05-16|2016-05-16 06:44:06|2016-05-16 06:45:00|54
1054|0|30th Street Station|LOCAL|Suburban Station|-74.81410|40.26120|Cynwyd|-1|S|2016-05-18|2016-05-18 06:44:05|2016-05-18 06:44:37|32
1054|0|30th Street Station|LOCAL|Suburban Station|-74.81410|40.26120|Cynwyd|-1|S|2016-06-13|2016-06-13 06:43:06|2016-06-13 06:43:44|38
1054|0|30th Street Station|LOCAL|Suburban Station|-74.81410|40.26120|Cynwyd|-1|S|2016-06-27|2016-06-27 06:43:05|2016-06-27 06:44:01|56
1054|0|30th Street Station|LOCAL|Suburban Station|-74.81410|40.26120|Cynwyd|-1|S|2016-10-05|2016-10-05 06:44:06|2016-10-05 06:44:45|39
