3011076|A tale of two friends / adapted by Ellie O'Ryan ; illustrated by Tom Caulfield, Frederick Gardner, Megan Petasky, and Allen Tam.|O'Ryan, Ellie|1481425730, 1481425749, 9781481425735, 9781481425742|2014.|Simon Spotlight,|Musicians Fiction, Bullfighters Fiction, Best friends Fiction, Friendship Fiction, Adventure and adventurers Fiction|jcbk|ncrdr|Floating|qna|2017-09-01T00:00:00.000|1
2248846|Naruto. Vol. 1, Uzumaki Naruto / story and art by Masashi Kishimoto ; [English adaptation by Jo Duffy].|Kishimoto, Masashi, 1974-|1569319006|2003, c1999.|Viz,|Ninja Japan Comic books strips etc, Comic books strips etc Japan Translations into English, Graphic novels|acbk|nycomic|NA|lcy|2017-09-01T00:00:00.000|1
3209270|Peace, love & Wi-Fi : a ZITS treasury / by Jerry Scott and Jim Borgman.|Scott, Jerry, 1955-|144945867X, 9781449458676|2014.|Andrews McMeel Publishing,|Duncan Jeremy Fictitious character Comic books strips etc, Teenagers United States Comic books strips etc, Parent and teenager Comic books strips etc, Families Comic books strips etc, Comic books strips etc, Comics Graphic works, Humorous comics|acbk|nycomic|NA|bea|2017-09-01T00:00:00.000|1
1907265|The Paris pilgrims : a novel / Clancy Carlile.|Carlile, Clancy, 1930-|0786706155|c1999.|Carroll & Graf,|Hemingway Ernest 1899 1961 Fiction, Biographical fiction, Historical fiction|acbk|cafic|NA|cen|2017-09-01T00:00:00.000|1
1644616|Erotic by nature : a celebration of life, of love, and of our wonderful bodies / edited by David Steinberg.||094020813X|1991, c1988.|Red Alder Books/Down There Press,|Erotic literature American, American literature 20th century|acbk|canf|NA|cen|2017-09-01T00:00:00.000|1
1736505|Children of Cambodia's killing fields : memoirs by survivors / compiled by Dith Pran ; introduction by Ben Kiernan ; edited by Kim DePaul.||0300068395, 0300078730|c1997.|Yale University Press,|Political atrocities Cambodia, Children Cambodia Biography, Cambodia History 1975|acbk|canf|NA|cen|2017-09-01T00:00:00.000|1
1749492|Anti-Zionism : analytical reflections / editors: Roselle Tekiner, Samir Abed-Rabbo, Norton Mezvinsky.||091559773X|c1989.|Amana Books,|Berger Elmer 1908 1996, Zionism Controversial literature|acbk|canf|NA|cen|2017-09-01T00:00:00.000|1
3270562|Hard-hearted Highlander / Julia London.|London, Julia|0373789998, 037380394X, 9780373789993, 9780373803941|[2017]|HQN,|Man woman relationships Fiction, Betrothal Fiction, Governesses Fiction, Highlands Scotland Fiction, Romance fiction, Historical fiction|acbk|nanew|NA|lcy|2017-09-01T00:00:00.000|1
3264577|The Sandcastle Empire / Kayla Olson.|Olson, Kayla|0062484877, 9780062484871|2017.|HarperTeen,|Survival Juvenile fiction, Islands Juvenile fiction, Dystopias Juvenile fiction, Fantasy fiction, Young adult fiction|acbk|nynew|NA|nga|2017-09-01T00:00:00.000|1
3236819|Doctor Who. The return of Doctor Mysterio / BBC ; BBC Wales ; produced by Peter Bennett ; [written] by Steven Moffat ; directed by Ed Bazalgette.|||[2017]|BBC Worldwide,|Doctor Fictitious character Drama, Time travel Drama, Human alien encounters Drama, Science fiction television programs, Fiction television programs, Television series, Video recordings for the hearing impaired|acdvd|nadvd|Floating|wts|2017-09-01T00:00:00.000|2
