"🚨 BREAKING 🚨

We have therefore made the assessment that #COVID19 can be characterized as a pandemic-@DrTedros #coronavirus https://t.co/JqdsM2051A"|1237777021742338050|2020-03-11 19:26:53|50467|55743|0|0|0|||World Health Organization (WHO)|14499829|We are the #UnitedNations’ health agency. We are committed to achieving better health for everyone, everywhere - #HealthForAll|2008-04-23 22:56:27||Geneva, Switzerland||48639|5896245|1715|10510
"These are 7 simple steps to protect yourself and others from #COVID19.

 👉 https://t.co/RU2gRs6jmc #coronavirus https://t.co/TNAw5YrP0u"|1237721991471382530|2020-03-11 15:48:13|31498|27464|0|0|0|||World Health Organization (WHO)|14499829|We are the #UnitedNations’ health agency. We are committed to achieving better health for everyone, everywhere - #HealthForAll|2008-04-23 22:56:27||Geneva, Switzerland||48639|5896245|1715|10510
"So here's my personal #coronavirus story....

My spouse and I got back from our honeymoon in Paris yesterday. This morning, my spouse woke up with a mild fever. We decided to call his doctor and the city health department to notify them since we had been overseas."|1237562508258340860|2020-03-11 05:14:29|36442|15453|0|0|0|||Julie O'Donoghue|355574901|@stlpublicradio political reporter, former @NOLAnews statehouse reporter, @Macalester and @MedillSchool alum, D.C. native, @capitals fan, She/her.|2011-08-15 18:32:00||St Louis, MO||60962|10677|1347|15047
"RT @sigridbazan: Hasta el momento, estas son las universidades e institutos que han suspendido/postergado sus actividades por el #coronavirus:
-Universidad Nacional de Ingeniería (UNI)
-PUCP
-Universidad del Pacífico 
-Universidad César Vallejo (UCV)
-Senati"|1238146877314473980|2020-03-12 19:56:33|0|310|0|0|1|sigridbazan||Lucía M. Y|993938049091424260|Soy una ingeniera ambiental que se enfrenta diariamente a la estupidez en grado sumo.|2018-05-08 22:37:52||||72|7|155|34
RT @Conflits_FR: 🏀 URGENT - Donovan #Mitchell, joueur de l'#Utah Jazz, est aussi infecté par le #coronavirus. Plusieurs joueurs ont assuré à @wojespn que Rudy Gobert n'avait pas été attentionné dans le vestiaire, touchant d'autres joueurs alors qu'il avait déjà des symptômes du #Covid_19. #NBA|1238146877293498370|2020-03-12 19:56:33|0|398|0|0|1|Conflits_FR||SON OF WUNNA 24|757696126808158210|🇵🇹🇨🇮 / Young Slime Life @qpr|2016-07-26 00:56:48||Atlanta, GA||58739|258|161|35269
"RT @WarsontheBrink: BREAKING: JUST IN: 

Total cases of #coronavirus in Lombardy Region in Italy reach 8717 with total of 744 deaths (127 new deaths) 

This is only from Lombardy not from Whole of Italy. 

The #Coronavirus Fatality rate in Lombardy, Italy has Shockingly reached 8.6 %"|1238146876970434560|2020-03-12 19:56:33|0|80|0|0|1|WarsontheBrink||WomenForSurvival🌵|2750105810|Best in feminist, pro-queer, anti-nuclear, anti-racist, anti-capitalist, and environmental news and activism from around the world & web. #FBR #DemCast #AZ 🌵|2014-08-20 22:28:28||WORLD||311621|12580|13717|54853
"RT @francescatotolo: In piena emergenza #coronavirus, il sindaco di #Milano @BeppeSala che fa?
Manda in giro vigili senza mascherine per fare cassa. https://t.co/8z01X6tSgm"|1238146876668628990|2020-03-12 19:56:33|0|126|0|0|1|francescatotolo||Jack camposasco|1028316048766980100||2018-08-11 19:23:45||San Colombano Certenoli, Ligur||4845|156|300|7807
"RT @enriquezabala68: Bajo la Emergencia se viene:
Uso discrecional de fondos
Compra directa de insumos
Intervención de cualquier informacion
Propaganda berreta Desaparición de partidas
;y porqué no, el quiebre social definitivo cuando empiecen con vos tenés tal medicamento y yo no.
#Coronavirus"|1238146876546957310|2020-03-12 19:56:33|0|6|0|0|1|enriquezabala68||laura noemì azcona|263552210|Soy una persona con deseos de continuar en bùsqueda de caminos de crecimiento...|2011-03-10 09:49:31||Rosario-Santa Fe-Argentina||64661|682|179|170194
"RT @MARTIN77798912: !!!!!!هشدار!!!!
گوش کنید و انتشار حداکثری:
مکالمه یکی از پزشکان زحمتکش برای مبارزه با کرونا
#كرونا 
#COVID19 
#coronavirus https://t.co/mtU7kg2VXc"|1238146876538605570|2020-03-12 19:56:33|0|3|0|0|1|MARTIN77798912||❄Maalek❄|939808001833295870|"ادب مَرد به از دولت اوست.

إِنْ أَحْسَنتُمْ أَحْسَنتُمْ لأَنفُسِکمْ وَإِنْ أَسَأْتُمْ فَلَهَا.

و دیگر هیچ."|2017-12-10 13:44:23||||27468|3313|3312|34878
"RT @SenatoStampa: #Coronavirus. Conversione d-l n. 9/2020 con misure urgenti di sostegno per #famiglie, #lavoratori e #imprese connesse all'emergenza epidemiologica da #COVID19.
📌Scheda ddl n. 1746👉🏻https://t.co/V01zop5R1w 
📌Dossier @SR_Studi e @SR_Bilancio👉🏻https://t.co/wHun6O69y5 https://t.co/qjkUMpRyaw"|1238146876479856640|2020-03-12 19:56:33|0|3|0|0|1|SenatoStampa||TIGNARD YANIS|936264482585743360|TOULOUSE, WASHINGTON, MOSCOU, TOKYO ET PÉKIN|2017-11-30 19:03:42||http://la-5ieme-republique.actifforum.com/t630-le-corbeau-de-yahve-et-la-colombe-de-noe-par-y-becca-tay||28795|610|3265|79
