Physical|Horizon|BOOK|2006|6|1|McGraw-Hill's dictionary of American slang and colloquial expressions / Richard A. Spears.|Spears, Richard A.|English language United States Slang Dictionaries, Figures of speech Dictionaries, Americanisms Dictionaries|McGraw-Hill,|c2006.
Physical|Horizon|BOOK|2006|6|1|Emma, Lady Hamilton / Flora Fraser.|Fraser, Flora|Hamilton Emma Lady 1761 1815, Nelson Horatio Nelson Viscount 1758 1805 Relations with women, Mistresses Great Britain Biography, Admirals Great Britain Biography|Knopf : Distributed by Random House,|1987, c1986.
Physical|Horizon|BOOK|2006|6|2|Red midnight||Survival Fiction, Emigration and immigration Fiction, Guatemala Fiction, Kayaks and kayaking Fiction||
Physical|Horizon|BOOK|2006|6|1|Just the financial facts how to identify nuggets of usable news and minimize information overload||Investments Information services||
Physical|Horizon|SOUNDCASS|2006|6|3|single shard||Korea Fiction, Pottery Fiction||
Physical|Horizon|BOOK|2006|6|2|Paul Kirk's championship barbecue : BBQ your way to greatness with 575 lip-smackin' recipes from the baron of barbecue / Paul Kirk and Bob Lyon.|Kirk, Paul, 1941-|Barbecuing|Harvard Common Press,|c2004.
Physical|Horizon|SOUNDDISC|2006|6|1|Live this is your house||Contemporary Christian music, Gospel music 2001 2010||
Physical|Horizon|BOOK|2006|6|1|"Bandido : Oscar ""Zeta"" Acosta and the Chicano experience / Ilan Stavans."|Stavans, Ilan|Acosta Oscar Zeta, Mexican Americans West U S Biography, Mexican Americans West U S Ethnic identity, West U S Biography|IconEditions,|c1995.
Physical|Horizon|SOUNDDISC|2006|6|4|Columbia River collection||Columbia River Songs and music, United States Bonneville Power Administration Anniversaries etc Songs and music||
Physical|Horizon|BOOK|2006|6|3|The journey : stories of migration / Cynthia Rylant ; illustrated by Lambert Davis.|Rylant, Cynthia|Animal migration Juvenile literature|Blue Sky Press,|2006.
Physical|Horizon|BOOK|2006|6|1|I wanna take me a picture teaching photography and writing to children||English language Composition and exercises Study and teaching Elementary, Photography Study and teaching Elementary||
Physical|Horizon|BOOK|2006|6|1|Googie : fifties coffee shop architecture / Alan Hess.|Hess, Alan|Coffee shops United States, Car washes United States, Architecture United States History 20th century|Chronicle Books,|[1986]
Physical|Horizon|BOOK|2006|6|1|Lazarus heart||Horror fiction, New Orleans La Fiction, Murder Louisiana New Orleans Fiction||
Physical|Horizon|SOUNDDISC|2006|6|1|Some of the best||Jazz vocals, Jazz 1961 1970||
