57264|9|Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)|It's a 2,200-mile race. To give some sense of perspective, that's roughly the distance between Washington, D.C. and Las Vegas. They do it over the course of three weeks at very fast speeds. But incredibly, oftentimes the distance between first and second is somewhere between and one and three minutes.
57264|10|Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)|So for a top competitor like Lance to try to make up that much time -he's now 13 minutes, 26 seconds behind the current race leader, Cadel Evans of Australia. And even Lance said yesterday that for him, the -any chance of winning the tour has gone out the window. He still does have a teammate on his team, RadioShack team, American Levi Leipheimer currently in eighth place, two minutes, 14 seconds back. And Lance is going to do what he can to help Leipheimer do well.
57264|11|NEAL CONAN, host|So in every team, presumably there's one star, one equivalent to Lance Armstrong and the other team - the rest of the teammates project him, do what they can to help him succeed?
57264|12|Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)|That's right. Each team has nine riders. And what you have is basically the team leader, sort of your queen bee, and then eight worker bees working to keep that queen safe and happy for when the decisive moments of the race come. In cycling, a lot of the energy goes toward actually battling wind resistance. So if you're riding behind another rider, you can be using up to 30 percent less energy because you're in that slipstream of the rider who's battling the wind. So team riders will ride on the front, protect their leader. You'll often see a team member drift back to the team car to fetch water bottles to keep their leader well hydrated.
57264|13|NEAL CONAN, host|So slipstream, this is like drafting in car racing, right?
57264|14|Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)|That's exactly right.
57264|15|NEAL CONAN, host|And so the guy who's in back has an easier time. And even when there are people in front on a breakaway, for example, who are from different teams, three or four riders, you will see them switch back and forth rather congenially so the same person isn't in front all the time.
57264|16|Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)|That's right. There's a lot of deal making that can go on in those breakaways. And oftentimes, they'll share the work until a time when they've determined it's every man for himself. But up until then, they form a sort of de facto team. And then sometimes you can see they've actually decided who might be able to win the stage that day. And these wagers can be for anything, for future favors, for money, for other things that they determine are valuable.
57264|17|NEAL CONAN, host|We're talking with Loren Mooney, the editor-in-chief of Bicycling Magazine. She's at our bureau in New York. Why do you watch the Tour de France? So we want to hear from our bicycling audience today. 800-989-8255. Email us: talk@npr.org. And we'll start with John(ph), John with us from San Francisco.
57264|18|JOHN (Caller)|Hello.
57264|19|NEAL CONAN, host|Hi, John.
57264|20|JOHN (Caller)|Yeah, the bicycle - or the Tour de France for me is just kind of the ultimate extension of what can be done with the bicycle. The bicycle is the most efficient form of transportation as far as energy spent for a single human being. And to me, the tour is just - takes it to the utmost what can - or what are the outer limits of what one man can do with this machine. It kind of puts it all at the very top limit of what's possible.
57264|21|NEAL CONAN, host|The ultimate expression - the training that you have to do for this, John, though is pretty ferocious.
57264|22|JOHN (Caller)|That also. But if you try to think of how long it would take anyone to cover the same distance by foot or the amount of energy spent in any other way for these guys to go 3,000 miles in three weeks, it's kind of unfathomable without the machine itself.
57264|23|Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)|That's true. It's interesting, too, these guys, they are very efficient in their energy use. But the amount of energy that they're using for human capacity can be fairly stunning. These guys are burning anywhere between six and 9,000 calories every day just to move their bicycles over the terrain. Nine thousand calories is the upper limits on some of those more difficult mountain stages. And that's more than the average American should eat in four-plus days to give you some sense of scale. These guys turn into very high-burning engines, if you will.
57264|24|NEAL CONAN, host|In other words, don't invite them out to dinner.
57264|25|Ms. LOREN MOONEY (Editor-in-Chief, Bicycling Magazine)|Yeah. You'd be - if you have to pick up the tab, you'd be in some trouble for sure.
57264|26|NEAL CONAN, host|John, thanks very much for the call.
